Spread_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,35.5,37.5,0.55561778,0.44438222,0
1,35.5,38,0.56937516,0.43062484,0
1,35.5,38.5,0.58306202,0.41693798,0
1,35.5,39,0.59666158,0.40333842,0
1,35.5,39.5,0.61015733,0.38984267,0
1,35.5,40,0.62353315,0.37646685,0
1,35.5,40.5,0.63677332,0.36322668,0
1,35.5,41,0.6498626,0.3501374,0
1,35.5,41.5,0.66278631,0.33721369,0
1,35.5,42,0.6755303,0.3244697,0
1,35.5,42.5,0.6880811,0.3119189,0
1,35.5,43,0.70042588,0.29957412,0
1,35.5,43.5,0.71255254,0.28744746,0
1,35.5,44,0.72444973,0.27555027,0
1,35.5,44.5,0.73610686,0.26389314,0
1,35.5,45,0.74751418,0.25248582,0
1,35.5,45.5,0.75866273,0.24133727,0
1,36,26,0.23544488,0.74239294,0.02216218
1,36,26.5,0.24596191,0.73138161,0.02265648
1,36,27,0.25674803,0.72011515,0.02313682
1,36,27.5,0.26779732,0.70860104,0.02360165
1,36,28,0.27910298,0.69684759,0.02404943
1,36,28.5,0.29065738,0.68486395,0.02447868
1,36,29,0.30245207,0.67266005,0.02488789
1,36,29.5,0.31447776,0.66024661,0.02527563
1,36,30,0.32672436,0.64763513,0.02564051
1,36,30.5,0.339181,0.63483781,0.02598118
1,36,31,0.35183605,0.62186757,0.02629637
1,36,31.5,0.36467714,0.60873799,0.02658488
1,36,32,0.3776912,0.59546324,0.02684556
1,36,32.5,0.39086451,0.58205809,0.0270774
1,36,33,0.40418274,0.56853783,0.02727942
1,36,33.5,0.417631,0.55491821,0.02745079
1,36,34,0.43119385,0.54121538,0.02759076
1,36,34.5,0.44485542,0.52744588,0.0276987
1,36,35,0.45859941,0.5136265,0.02777409
1,36,35.5,0.4724092,0.49977428,0.02781652
1,36,36,0.48626785,0.48590644,0.02782572
1,36,36.5,0.50015821,0.47204026,0.02780152
1,36,37,0.514063,0.45819309,0.02774391
1,36,37.5,0.52796481,0.44438222,0.02765297
1,36,38,0.54184624,0.43062484,0.02752892
1,36,38.5,0.55568991,0.41693798,0.02737212
1,36,39,0.56947855,0.40333842,0.02718303
1,36,39.5,0.58319509,0.38984267,0.02696223
1,36,40,0.59682269,0.37646685,0.02671045
1,36,40.5,0.61034481,0.36322668,0.0264285
1,36,41,0.62374529,0.3501374,0.02611731
1,36,41.5,0.6370084,0.33721369,0.02577791
1,36,42,0.65011887,0.3244697,0.02541144
1,36,42.5,0.663062,0.3119189,0.0250191
1,36,43,0.67582366,0.29957412,0.02460222
1,36,43.5,0.68839038,0.28744746,0.02416216
1,36,44,0.70074935,0.27555027,0.02370038
1,36,44.5,0.71288849,0.26389314,0.02321837
1,36,45,0.72479647,0.25248582,0.02271771
1,36,45.5,0.73646275,0.24133727,0.02219998
1,36,46,0.74787761,0.23045557,0.02166682
1,36.5,26.5,0.24596191,0.75403809,0
1,36.5,27,0.25674803,0.74325197,0
1,36.5,27.5,0.26779732,0.73220268,0
1,36.5,28,0.27910298,0.72089702,0
1,36.5,28.5,0.29065738,0.70934262,0
1,36.5,29,0.30245207,0.69754793,0
1,36.5,29.5,0.31447776,0.68552224,0
1,36.5,30,0.32672436,0.67327564,0
1,36.5,30.5,0.339181,0.660819,0
1,36.5,31,0.35183605,0.64816395,0
1,36.5,31.5,0.36467714,0.63532286,0
1,36.5,32,0.3776912,0.6223088,0
1,36.5,32.5,0.39086451,0.60913549,0
1,36.5,33,0.40418274,0.59581726,0
1,36.5,33.5,0.417631,0.582369,0
1,36.5,34,0.43119385,0.56880615,0
1,36.5,34.5,0.44485542,0.55514458,0
1,36.5,35,0.45859941,0.54140059,0
1,36.5,35.5,0.4724092,0.5275908,0
1,36.5,36,0.48626785,0.51373215,0
1,36.5,36.5,0.50015821,0.49984179,0
1,36.5,37,0.514063,0.485937,0
1,36.5,37.5,0.52796481,0.47203519,0
1,36.5,38,0.54184624,0.45815376,0
1,36.5,38.5,0.55568991,0.44431009,0
1,36.5,39,0.56947855,0.43052145,0
1,36.5,39.5,0.58319509,0.41680491,0
1,36.5,40,0.59682269,0.40317731,0
1,36.5,40.5,0.61034481,0.38965519,0
1,36.5,41,0.62374529,0.37625471,0
1,36.5,41.5,0.6370084,0.3629916,0
1,36.5,42,0.65011887,0.34988113,0
1,36.5,42.5,0.663062,0.336938,0
1,36.5,43,0.67582366,0.32417634,0
1,36.5,43.5,0.68839038,0.31160962,0
1,36.5,44,0.70074935,0.29925065,0
1,36.5,44.5,0.71288849,0.28711151,0
1,36.5,45,0.72479647,0.27520353,0
1,36.5,45.5,0.73646275,0.26353725,0
1,36.5,46,0.74787761,0.25212239,0
1,36.5,46.5,0.75903214,0.24096786,0
